technology,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
Solar,45435.0,48376.4,53537.9,58002.3,63366.0,77015.6,86951.6,104029.5,,,,,,,,,,6751.1,8465.8,11389.5,14639.9,18522.5,23867.3,29047.0,41433.4,,,,,,,,,,323.5,413.4,569.2,1031.9,1332.3,1810.8,2588.6,3237.4,,,,,,,,,,8188.0,9437.8,10212.8,13153.8,14638.8,17794.9,22860.0,28253.9,,,,,,,,,,4717.0,4874.0,4979.0,5137.0,5431.0,5927.0,8922.0,11872.0,,,,,,,,,
Onshore wind,52945.6,53338.2,54666.2,55456.3,57741.6,60048.6,63403.2,67922.9,,,,,,,,,,22960.6,24446.6,26663.6,27734.8,29320.4,30159.3,30931.9,32451.4,,,,,,,,,,5126.6,5180.8,5183.4,5328.0,5328.4,5332.8,5366.1,5400.8,,,,,,,,,,13610.0,16577.9,17216.9,19515.5,20841.9,21701.1,22907.1,23671.8,,,,,,,,,,9617.0,10224.0,10302.0,10658.0,11204.0,11651.0,12233.0,12875.0,,,,,,,,,
Hydro run-of-river,4007.9,3994.7,3838.8,3684.5,3737.2,3752.8,3923.0,4116.2,,,,,,,,,,1156.2,1154.8,1154.8,1154.8,1154.8,1154.8,1154.2,2629.6,,,,,,,,,,2857.6,2857.6,2856.8,2856.4,2856.4,2855.5,2855.5,2855.5,,,,,,,,,,10955.0,11475.0,11500.0,11834.1,11695.3,11705.7,11737.0,11748.3,,,,,,,,,,10650.0,10441.0,10472.0,10507.0,10553.0,10291.0,10317.0,10491.0,,,,,,,,,
Hydro reservoir,1309.0,1308.5,1308.5,1309.0,1345.0,1392.0,1459.8,1459.8,,,,,,,,,,19145.8,19139.4,19185.7,19186.7,15772.7,15771.4,15764.6,14256.6,,,,,,,,,,1515.3,1515.3,1515.3,1515.3,1633.4,1629.0,1789.0,1789.0,,,,,,,,,,8279.0,8785.1,8785.1,8785.2,8787.3,8791.1,8791.1,8791.1,,,,,,,,,,3857.0,4459.0,4454.0,4441.0,4440.0,4542.0,4548.0,4496.0,,,,,,,,,
Hydro pumped (production),9422.0,9421.5,9421.5,9379.2,9379.0,9449.0,9383.8,9401.8,,,,,,,,,,5645.4,5645.4,5645.4,5695.4,3417.5,3417.5,3417.5,3417.5,,,,,,,,,,2820.0,2820.0,2820.0,2827.4,3707.4,3707.4,3707.4,3707.4,,,,,,,,,,5023.0,5064.0,5064.0,5050.0,5051.0,5060.7,5060.8,5060.9,,,,,,,,,,7574.0,7276.0,7276.0,7256.0,7256.0,7256.0,7245.0,7251.0,,,,,,,,,
Biomass,7782.1,8033.6,8447.1,8378.9,8513.8,8659.5,8851.0,8855.9,,,,,,,,,,507.0,554.6,704.0,702.3,707.1,707.5,709.1,753.4,,,,,,,,,,604.8,678.8,684.1,681.0,647.0,681.0,687.1,682.4,,,,,,,,,,1931.0,1578.2,1579.2,1300.9,1342.7,1407.7,1412.7,1434.9,,,,,,,,,,1538.0,1549.0,1587.0,1548.0,1534.0,1543.0,1539.0,1474.0,,,,,,,,,
Gas,31745.0,31793.1,32038.2,30648.7,33135.0,37584.0,38596.6,37469.0,,,,,,,,,,30266.3,30012.3,29969.5,29926.9,29902.6,29872.8,29943.3,29920.8,,,,,,,,,,4606.0,4606.2,4584.9,4519.5,4584.6,4432.7,4418.6,4394.8,,,,,,,,,,11952.0,12237.6,12217.6,13074.1,12892.8,12768.2,12787.7,12801.2,,,,,,,,,,48134.0,44287.0,43989.0,44002.0,46287.0,47228.0,47625.0,50506.0,,,,,,,,,
Oil & other fossil,4356.0,4372.5,4184.4,3966.3,4083.0,4118.0,6913.8,3929.7,,,,,,,,,,713.8,706.5,678.4,669.0,669.7,703.7,672.2,726.2,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,3271.0,2874.2,2746.2,2761.8,2565.8,2970.9,2978.9,2985.9,,,,,,,,,,1443.0,1493.0,1480.0,1490.0,1543.0,1564.0,1548.0,1548.0,,,,,,,,,
Waste,1707.0,1681.6,1660.6,1619.5,1933.0,1832.0,1887.0,1952.6,,,,,,,,,,537.6,543.1,537.1,565.3,545.9,545.9,545.9,545.9,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,460.2,460.2,947.2,928.8,1033.4,1062.7,1039.9,,,,,,,,,,132.0,125.0,125.0,122.0,120.0,670.0,671.0,70.0,,,,,,,,,
Geothermal,41.8,47.5,43.9,50.9,55.6,54.0,46.0,75.6,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.8,1.8,1.8,1.8,1.8,,,,,,,,,,869.0,869.0,869.0,869.0,869.0,868.0,868.0,868.0,,,,,,,,,
Marine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,240.0,246.0,246.0,242.8,242.8,243.1,243.1,243.1,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Other renewable,444.6,407.5,420.3,352.4,384.2,356.4,399.7,329.2,,,,,,,,,,260.9,274.8,268.8,271.7,284.9,286.9,620.7,787.5,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Other,1235.0,1557.8,1638.8,1678.8,1706.0,1630.0,13287.5,16056.3,,,,,,,,,,117.4,117.4,117.4,118.4,118.4,122.2,129.6,174.7,,,,,,,,,,36.2,8.0,28.0,28.0,28.0,28.0,28.0,24.6,,,,,,,,,,108.0,1069.8,1119.8,1156.7,1145.2,802.5,1023.0,1249.4,,,,,,,,,,991.0,1394.0,837.0,825.0,853.0,334.0,437.0,2606.0,,,,,,,,,
