doy,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
1,21,0,0,0,14,11,17,11,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,0,13,11,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
2,27,0,0,1,14,12,17,12,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,0,13,15,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
3,27,2,0,6,14,17,17,12,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,2,13,20,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
4,27,4,0,6,16,17,17,12,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,2,13,20,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
5,27,4,0,6,19,17,17,12,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,2,13,20,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
6,27,4,0,6,19,17,17,12,,,,,,,,,,0,0,0,0,15,0,0,4,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,2,13,20,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
7,27,4,0,6,19,17,17,12,,,,,,,,,,0,0,0,0,15,0,0,4,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,2,13,20,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
8,27,6,0,6,19,17,17,12,,,,,,,,,,0,0,0,0,15,0,0,4,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,2,13,20,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
9,27,6,0,6,19,17,17,12,,,,,,,,,,0,0,0,0,15,0,0,4,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,2,13,20,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
10,27,6,0,6,19,17,17,12,,,,,,,,,,0,0,0,0,15,0,0,4,,,,,,,,,,0,0,0,0,15,0,0,0,,,,,,,,,,0,0,0,2,13,20,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,
